image_path,caption,split
2444935470_7b0226b756.jpg,The little boy poses in the garden .,train
2999162229_80d17099b6.jpg,A girl in an orange shirt lights candles .,train
3228793611_8f260ea500.jpg,A brown dog digs in the sand happily .,train
2380740486_8cd5d4601a.jpg,A person trails behind some ducks on the water to a lake .,train
3025546819_ce031d2fc3.jpg,The black and white dog is in the brown grass with a ball in his mouth .,train
124195430_d14028660f.jpg,A brown horse and a black foal on the beach,train
377872472_35805fc143.jpg,Two dogs play together in the snow .,train
3108197858_441ff38565.jpg,A group of children are raising their hands in the air .,train
3135504530_0f4130d8f8.jpg,Two women in white shirts talking .,train
2021671653_567395c7cf.jpg,A young boy in motion in front of potted plants and a beige wall .,train
3162442331_c9711857c6.jpg,An elephant wearing red and blue fabric holds grass in his trunk .,train
3568219100_dfbffddccd.jpg,A man is climbing up a rock while another man watches him from behind .,train
540604040_bec822c144.jpg,A small child with a ponytail dressed in jean shorts and a pink and brown shirt climbs on a pole near wooden playground equipment .,train
2539933563_17ff0758c7.jpg,A woman with glowing shoes at an outdoor event .,train
2304444199_05386d2e9c.jpg,A girl climbs a rock wall .,train
3210419174_d083a16f77.jpg,"Two guys pose with two women , everyone is wearing black and white .",train
465994762_1760e83c5d.jpg,a brown dog jumps over a chain .,train
2447035752_415f4bb152.jpg,Some people are sitting in a watery pool beside the river .,train
394161692_2576920777.jpg,People are waiting outside a lawn and garden seller .,train
3458625738_297857369c.jpg,The formally-dressed man smiles upwards as he does a split .,train
3522076584_7c603d2ac5.jpg,A person is jumping while riding a bike .,train
262570082_6364f58f33.jpg,A collie and a black dog with a stick in the water .,train
2903469015_a1e7d969c2.jpg,two muzzled greyhounds dogs racing around a track .,train
2878190821_6e4e03dc5f.jpg,Little boy who has played in the dirt standing near his swing set .,train
1189977786_4f5aaed773.jpg,one tan dog jumping in a pool while the other grey dog is on the deck,train
2641770481_c98465ff35.jpg,A man in a red jacket stands near a yellow kayak .,train
2103361407_4ed4fc46bf.jpg,Five children laugh and smile on a bench .,train
2806710650_e201acd913.jpg,A woman walking across a hill with dark clouds in the background .,train
2522230304_1581d52961.jpg,A man is climbing a rocky mountain .,train
2165459064_5b81ff23eb.jpg,Two white dogs with cutoff tails running in green grass .,train
716597900_b72c58362c.jpg,A woman walks along the beach as three children follow her in a line .,train
3159424456_f316bdc1d5.jpg,Man in glasses holding a toddler on the table at a restaurant .,train
3539767254_c598b8e6c7.jpg,A man is steering a gondola with people in it down a river with buildings all around .,train
392467282_00bb22e201.jpg,two big brown dogs running through the snow .,train
1991806812_065f747689.jpg,a boxer punches a boxer in the face .,train
1332722096_1e3de8ae70.jpg,Two girls in bright green boots and a woman are together .,train
2460477085_088e25f857.jpg,A man and two boys jump on a trampoline .,train
3457856049_2de173e818.jpg,a boy is creating large splashes whilst swimming in the ocean .,train
